time [s];swlx [m];swly [m];swlz [m];pos0x [m];pos0y [m];pos0z [m];pos2x [m];pos2y [m];pos2z [m]
1.850017;0.2;0;0.215021;0.2;0;-0.05;0.2;0;2.1
1.860013;0.2;0;0.213166;0.2;0;-0.05;0.2;0;2.1
1.870008;0.2;0;0.211907;0.2;0;-0.05;0.2;0;2.1
1.880010;0.2;0;0.211161;0.2;0;-0.05;0.2;0;2.1
1.890006;0.2;0;0.210683;0.2;0;-0.05;0.2;0;2.1
1.900030;0.2;0;0.21016;0.2;0;-0.05;0.2;0;2.1
1.910017;0.2;0;0.2096;0.2;0;-0.05;0.2;0;2.1
1.920015;0.2;0;0.208972;0.2;0;-0.05;0.2;0;2.1
1.930015;0.2;0;0.208173;0.2;0;-0.05;0.2;0;2.1
1.940026;0.2;0;0.207122;0.2;0;-0.05;0.2;0;2.1
1.950005;0.2;0;0.205806;0.2;0;-0.05;0.2;0;2.1
1.960005;0.2;0;0.204485;0.2;0;-0.05;0.2;0;2.1
1.970006;0.2;0;0.2034;0.2;0;-0.05;0.2;0;2.1
1.980018;0.2;0;0.202329;0.2;0;-0.05;0.2;0;2.1
1.990000;0.2;0;0.201246;0.2;0;-0.05;0.2;0;2.1
